game_id,avg_temp,rain_sum,wind_speed_avg,snowfall_sum,is_indoor,rain_any,snow_any
73,64.4,0.0,5.7,0.0,False,False,False
74,41.72,5.2,6.5,0.0,False,True,False
75,55.94,0.0,6.7,0.0,True,False,False
76,67.46,22.7,13.0,0.0,False,True,False
77,44.6,0.0,13.8,0.0,True,False,False
78,50.18,0.0,8.8,0.0,True,False,False
79,74.12,2.2,22.6,0.0,True,True,False
80,72.68,0.0,13.4,0.0,False,False,False
81,49.1,0.0,7.5,0.0,False,False,False
82,47.84,0.0,9.8,0.0,False,False,False
83,47.48,0.0,11.8,0.0,True,False,False
84,44.96,0.0,9.5,0.0,False,False,False
85,55.58,0.0,12.2,0.0,False,False,False
86,52.88,0.0,6.8,0.0,False,False,False
87,69.62,0.3,8.0,0.0,True,True,False
88,58.64,14.3,9.2,0.0,True,True,False
89,47.3,5.2,15.3,0.0,False,True,False
90,48.56,1.4,16.0,0.0,False,True,False
91,40.46,0.1,16.9,0.0,False,True,False
92,81.14,0.0,10.4,0.0,False,False,False
93,50.54,0.0,7.1,0.0,True,False,False
94,80.78,0.4,9.5,0.0,False,True,False
95,64.58,1.4,17.4,0.0,True,True,False
96,49.28,1.7,23.6,0.0,False,True,False
97,45.86,1.3,18.7,0.0,True,True,False
98,68.18,0.0,3.2,0.0,False,False,False
99,48.92,0.0,7.0,0.0,False,False,False
100,60.26,0.0,13.7,0.0,False,False,False
101,44.42,0.0,16.7,0.0,False,False,False
102,49.46,0.0,14.2,0.0,False,False,False
103,40.1,0.0,17.9,0.0,False,False,False
104,54.5,0.0,12.1,0.0,False,False,False
105,56.66,0.0,11.2,0.0,False,False,False
106,62.42,0.0,6.9,0.0,True,False,False
107,47.120000000000005,0.0,29.1,0.0,True,False,False
108,48.38,0.0,26.7,0.0,False,False,False
109,64.58,0.0,5.5,0.0,False,False,False
110,43.88,0.3,32.0,0.0,False,True,False
111,38.12,0.0,10.8,0.0,False,False,False
112,58.1,0.0,8.5,0.0,False,False,False
113,56.48,0.0,7.1,0.0,False,False,False
114,34.34,0.0,26.1,0.0,True,False,False
115,39.92,0.0,10.3,0.0,False,False,False
116,43.88,0.0,12.1,0.0,False,False,False
117,42.260000000000005,0.0,13.6,0.0,True,False,False
118,48.74,0.1,11.0,0.0,True,True,False
119,40.46,0.0,4.8,0.0,True,False,False
120,70.52,0.0,17.2,0.0,False,False,False
121,41.36,0.0,4.9,0.0,False,False,False
122,65.48,2.4,13.2,0.0,False,True,False
123,40.1,0.0,5.3,0.0,False,False,False
124,57.74,0.0,6.0,0.0,False,False,False
125,39.74,0.0,7.3,0.0,False,False,False
126,65.48,0.0,7.0,0.0,False,False,False
127,41.0,0.0,9.1,0.0,False,False,False
128,56.48,25.3,17.7,0.0,False,True,False
129,47.3,0.0,20.9,0.0,True,False,False
130,42.620000000000005,0.0,10.5,0.0,False,False,False
131,39.56,0.0,16.3,0.0,True,False,False
132,44.78,0.0,10.2,0.0,False,False,False
133,40.64,0.0,8.2,0.0,True,False,False
134,73.75999999999999,0.0,8.2,0.0,False,False,False
135,31.28,0.0,17.1,0.0,True,False,False
136,56.48,13.9,10.2,0.0,False,True,False
137,58.82,9.3,14.0,0.0,False,True,False
138,62.96,0.1,12.1,0.0,False,True,False
139,51.98,0.0,6.1,0.0,False,False,False
140,68.0,0.0,4.6,0.0,True,False,False
141,43.16,2.2,14.9,0.0,False,True,False
142,46.4,12.6,21.6,0.0,False,True,False
143,55.04,8.5,22.3,0.0,True,True,False
144,53.06,0.0,7.2,0.0,False,False,False
145,39.92,2.9,13.2,0.0,False,True,False
146,34.7,0.0,13.5,0.0,False,False,False
147,36.68,0.0,7.1,0.0,False,False,False
148,65.84,0.0,14.4,0.0,False,False,False
149,53.96,0.0,17.3,0.0,True,False,False
150,45.5,0.0,9.5,0.0,True,False,False
151,45.86,0.0,9.7,0.0,False,False,False
152,57.2,0.0,9.8,0.0,False,False,False
153,46.04,0.0,6.3,0.0,False,False,False
154,45.14,0.0,12.2,0.0,False,False,False
155,55.04,0.0,10.2,0.0,True,False,False
156,68.0,0.0,9.4,0.0,True,False,False
157,53.96,0.0,3.9,0.0,False,False,False
158,51.44,0.0,9.8,0.0,False,False,False
159,40.28,0.0,8.1,0.0,False,False,False
160,48.74,0.4,17.8,0.0,False,True,False
161,36.68,0.0,7.6,0.0,True,False,False
162,60.440000000000005,0.0,14.7,0.0,False,False,False
163,56.3,0.0,11.7,0.0,False,False,False
164,49.82,0.0,7.6,0.0,True,False,False
165,50.0,0.0,13.4,0.0,False,False,False
